Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Arsenal,16,9,13,10,2,0,1.36,1.33,-1.5,2.06,1.98,1.4,1.36,-1.5,2.16,2.05,1.0
Arsenal,26,8,13,11,3,0,2.43,2.38,-0.25,2.12,2.07,2.65,2.58,0.0,1.97,1.92,0.5
Arsenal,21,6,13,9,5,1,1.45,1.42,-1.25,1.96,1.9,1.45,1.42,-1.25,1.99,1.91,1.0
Arsenal,12,2,12,14,1,0,1.5,1.45,-1.25,1.99,1.93,1.4,1.36,-1.5,2.05,1.92,1.0
Arsenal,15,6,18,12,2,0,1.54,1.49,-1.25,2.09,2.04,1.54,1.48,-1.25,2.07,2.02,0.5
Arsenal,10,4,6,8,0,0,1.83,1.78,-0.75,2.03,2.0,1.83,1.75,-0.75,2.03,1.97,0.5
Arsenal,12,5,13,6,6,0,1.52,1.47,-1.25,2.03,1.99,1.51,1.46,-1.25,2.04,1.98,0.5
Arsenal,12,5,10,9,3,0,1.63,1.61,-1.0,2.07,2.01,1.68,1.64,-0.75,1.87,1.82,0.0
Arsenal,6,1,9,3,1,0,6.5,6.03,1.25,2.02,1.97,7.35,6.7,1.5,1.95,1.88,0.0
Arsenal,7,2,13,2,5,0,3.0,2.86,0.25,1.85,1.81,3.1,2.93,0.25,1.89,1.83,0.0
Arsenal,10,4,11,1,2,0,2.65,2.58,0.0,1.97,1.91,2.86,2.64,0.0,2.05,1.95,1.0
Arsenal,11,4,9,4,1,0,1.9,1.85,-0.5,1.88,1.84,2.14,2.0,-0.5,2.14,2.03,0.5
Arsenal,15,7,15,5,2,0,1.47,1.43,-1.25,2.04,1.99,1.49,1.45,-1.25,2.09,2.02,1.0
Arsenal,9,4,12,6,0,0,2.12,2.04,-0.5,2.1,2.03,2.05,1.99,-0.5,2.05,1.99,1.0
Arsenal,9,2,11,6,1,0,1.62,1.56,-1.0,2.0,1.93,1.71,1.64,-1.0,2.22,2.1,1.0
Arsenal,13,8,10,6,1,0,1.48,1.44,-1.25,2.09,2.02,1.48,1.45,-1.25,2.07,2.0,1.0
Arsenal,11,7,10,10,1,1,2.49,2.38,-0.25,2.1,2.06,2.3,2.21,-0.25,1.99,1.92,0.5
Arsenal,3,2,14,2,3,0,4.1,3.89,0.5,2.04,1.99,4.82,4.53,0.75,2.05,1.98,1.0
Arsenal,13,5,9,4,3,0,2.05,1.93,-0.5,2.05,1.93,2.09,2.01,-0.5,2.09,2.02,1.0
Arsenal,8,2,7,3,3,0,1.83,1.79,-0.75,2.08,2.03,2.25,2.2,-0.25,1.97,1.89,1.0
Arsenal,9,3,5,4,1,0,6.5,6.09,1.25,1.89,1.86,6.8,6.34,1.25,2.04,1.93,0.0
Arsenal,10,4,4,1,3,0,2.08,2.01,-0.5,2.08,2.02,1.91,1.87,-0.5,1.92,1.86,0.5
Arsenal,10,5,13,7,2,0,3.15,2.99,0.25,1.87,1.84,3.35,3.21,0.25,1.99,1.95,0.5
Arsenal,9,3,12,12,4,0,1.98,1.93,-0.5,1.96,1.92,2.12,2.06,-0.25,1.83,1.79,0.0
Arsenal,8,1,10,4,1,0,3.8,3.62,0.5,1.95,1.89,3.98,3.8,0.5,2.04,1.97,0.0
Arsenal,16,7,10,12,1,0,1.86,1.77,-0.75,2.02,1.97,1.75,1.7,-0.75,1.93,1.88,0.5
Arsenal,10,3,6,3,0,0,2.08,1.98,-0.5,2.02,1.99,2.01,1.93,-0.5,1.99,1.93,1.0
Arsenal,6,2,11,4,3,0,3.0,2.9,0.25,1.91,1.84,3.42,3.25,0.25,2.1,2.03,0.5
Arsenal,17,2,13,3,4,0,2.08,2.01,-0.5,2.07,2.01,1.97,1.87,-0.5,1.97,1.88,0.5
Arsenal,7,4,22,4,3,1,1.9,1.83,-0.75,2.14,2.07,1.9,1.77,-0.75,2.06,2.0,0.5
Arsenal,2,2,6,5,1,1,5.2,4.71,0.75,1.97,1.94,5.1,4.78,0.75,2.07,1.93,0.5
Arsenal,13,2,11,7,3,0,2.1,2.02,-0.5,2.06,2.01,2.0,1.94,-0.5,2.0,1.94,0.5
Arsenal,3,0,7,2,1,1,9.0,8.11,1.5,2.01,1.95,11.0,9.64,1.75,1.99,1.93,0.0
Arsenal,13,6,8,7,1,0,2.52,2.39,-0.25,2.15,2.07,2.38,2.29,-0.25,2.04,1.98,0.0
Arsenal,10,5,14,6,2,0,2.8,2.65,-0.0,2.0,1.94,2.72,2.63,-0.0,1.99,1.93,1.0
Arsenal,8,5,11,5,4,0,3.5,3.32,0.25,2.0,1.92,3.4,3.26,0.25,1.91,1.85,1.0
Arsenal,13,4,11,5,3,0,2.83,2.68,-0.0,2.07,1.95,2.75,2.62,-0.0,1.97,1.9,0.0
Arsenal,7,0,19,9,4,0,2.2,2.11,-0.25,1.92,1.85,2.26,2.2,-0.25,2.0,1.94,0.0
