Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Aston Villa,22,7,10,10,0,0,2.42,2.33,-0.25,2.03,2.01,2.33,2.26,-0.25,2.01,1.97,0.0
Aston Villa,7,3,10,0,2,0,3.26,3.16,0.25,1.98,1.92,3.26,3.02,0.25,1.98,1.83,1.0
Aston Villa,10,5,13,2,2,0,2.7,2.64,0.0,1.97,1.94,2.85,2.73,0.0,2.07,2.02,0.5
Aston Villa,16,3,10,7,1,0,2.45,2.38,-0.25,2.11,2.05,2.4,2.31,-0.25,2.05,2.01,0.5
Aston Villa,24,8,9,7,1,0,2.45,2.38,-0.25,2.08,2.04,2.45,2.39,-0.25,2.16,2.07,1.0
Aston Villa,5,2,12,2,1,0,9.25,8.4,1.5,1.95,1.89,10.5,9.45,1.75,1.88,1.85,0.0
Aston Villa,17,8,10,11,1,0,2.2,2.11,-0.25,1.87,1.82,2.27,2.19,-0.25,1.95,1.9,1.0
Aston Villa,15,2,21,8,6,0,4.5,4.27,0.75,1.86,1.82,5.4,4.84,1.0,1.89,1.75,0.0
Aston Villa,19,6,16,7,2,0,2.5,2.43,0.0,1.83,1.78,2.6,2.5,0.0,1.89,1.85,0.0
Aston Villa,11,2,15,5,2,0,2.2,2.11,-0.25,1.88,1.85,2.3,2.2,-0.25,1.96,1.92,1.0
Aston Villa,7,1,5,2,2,0,18.0,14.5,2.25,1.98,1.93,19.0,15.71,2.5,1.99,1.8,0.0
Aston Villa,16,5,11,6,2,0,3.0,2.86,0.0,2.14,2.08,3.2,3.1,0.25,1.9,1.84,1.0
Aston Villa,18,4,12,12,2,0,4.25,4.01,0.5,2.06,1.99,4.18,3.88,0.5,1.98,1.93,0.0
Aston Villa,14,6,11,12,1,0,3.48,3.3,0.25,1.97,1.92,3.5,3.28,0.25,1.96,1.9,0.5
Aston Villa,8,4,9,2,2,0,6.5,6.0,1.0,2.11,2.03,7.8,7.0,1.25,1.92,1.83,0.0
Aston Villa,11,1,16,2,1,0,5.1,4.79,0.75,1.91,1.85,4.86,4.49,0.5,2.03,1.96,0.0
Aston Villa,9,1,7,3,2,0,10.5,9.26,1.5,1.93,1.86,10.0,9.05,1.5,1.99,1.92,0.0
Aston Villa,12,9,21,5,2,0,2.35,2.29,-0.25,2.01,1.97,2.44,2.36,-0.25,2.1,2.03,1.0
Aston Villa,8,3,13,8,2,0,3.4,3.24,0.25,2.09,2.02,3.35,3.13,0.25,1.99,1.95,1.0
Aston Villa,7,4,9,0,0,0,12.0,10.51,1.5,2.0,1.94,10.0,8.82,1.5,1.87,1.8,0.0
Aston Villa,10,2,16,2,4,1,3.6,3.43,0.25,2.03,2.0,3.42,3.29,0.25,1.98,1.94,0.0
Aston Villa,14,9,15,4,1,0,8.25,7.49,1.25,2.05,1.98,8.0,7.23,1.25,2.05,1.99,0.0
Aston Villa,22,12,17,6,3,0,2.95,2.85,0.25,1.82,1.79,2.93,2.86,0.25,1.84,1.8,1.0
Aston Villa,11,5,5,7,1,0,35.0,28.3,3.0,1.87,1.83,34.25,27.97,3.25,1.88,1.77,0.0
Aston Villa,13,4,8,3,3,0,4.4,4.24,0.5,2.03,1.99,5.8,5.31,0.75,2.06,1.99,0.0
Aston Villa,9,3,8,9,1,0,8.0,7.08,1.0,2.23,2.08,7.9,7.02,1.25,1.99,1.88,0.5
Aston Villa,9,3,10,5,1,0,11.25,9.89,1.5,2.09,2.04,9.5,8.54,1.5,2.02,1.98,0.0
Aston Villa,8,0,9,2,2,0,4.35,4.17,0.5,2.08,2.01,5.0,4.51,0.75,1.93,1.88,0.0
Aston Villa,11,2,9,3,1,0,3.85,3.65,0.5,1.94,1.88,4.6,4.32,0.75,1.94,1.87,0.0
Aston Villa,11,6,10,4,1,0,4.6,4.37,0.75,1.86,1.82,4.36,4.17,0.5,1.96,1.9,1.0
Aston Villa,8,3,13,4,3,0,5.25,4.94,0.75,2.1,2.06,5.1,4.84,0.75,2.09,2.03,0.5
Aston Villa,18,5,15,8,3,0,3.55,3.39,0.25,2.06,2.02,3.7,3.5,0.25,2.11,2.02,0.0
Aston Villa,4,1,17,6,4,0,5.5,5.1,1.0,1.84,1.81,5.1,4.71,0.75,2.0,1.95,0.0
Aston Villa,4,1,12,0,1,0,9.0,8.05,1.5,1.86,1.8,6.88,6.21,1.0,2.08,2.01,0.0
Aston Villa,14,2,13,9,2,0,3.32,3.17,0.25,1.92,1.87,3.25,3.12,0.25,1.9,1.85,0.5
Aston Villa,9,3,8,5,1,0,9.8,8.4,1.5,1.97,1.9,17.0,13.94,2.0,1.95,1.89,0.0
Aston Villa,15,1,13,5,1,0,3.94,3.74,0.5,1.9,1.85,3.86,3.49,0.25,2.16,2.06,0.5
Aston Villa,13,4,13,7,1,0,2.36,2.28,-0.25,2.02,1.97,2.75,2.65,-0.0,2.0,1.95,0.5
