Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Brighton,16,4,11,8,0,0,2.65,2.52,-0.25,2.21,2.16,2.3,2.23,-0.25,1.96,1.91,0.5
Brighton,12,3,9,8,1,1,2.55,2.43,-0.25,2.11,2.08,2.45,2.36,-0.25,2.06,2.01,0.0
Brighton,14,5,13,3,0,0,2.2,2.15,-0.25,1.88,1.84,2.25,2.13,-0.25,1.88,1.83,0.5
Brighton,17,6,11,4,2,0,4.1,3.9,0.5,1.95,1.93,5.65,4.92,0.75,2.11,1.97,1.0
Brighton,8,4,12,0,2,0,2.95,2.87,0.0,2.07,2.03,2.8,2.68,0.0,1.97,1.92,1.0
Brighton,21,5,11,8,0,0,1.75,1.71,-0.75,1.93,1.89,1.75,1.59,-1.0,2.25,2.0,1.0
Brighton,7,0,9,6,2,0,3.85,3.69,0.25,2.17,2.13,4.14,3.8,0.5,1.91,1.86,0.0
Brighton,13,4,10,3,3,0,2.8,2.69,0.0,1.94,1.9,2.8,2.64,0.0,1.97,1.83,0.5
Brighton,9,2,6,4,1,0,2.32,2.21,-0.25,1.92,1.88,2.35,2.17,-0.25,1.93,1.87,0.0
Brighton,16,6,8,9,0,0,1.86,1.79,-0.75,2.09,2.03,1.9,1.81,-0.5,1.9,1.81,1.0
Brighton,16,5,8,5,2,0,3.88,3.7,0.5,1.92,1.86,4.1,3.86,0.5,2.04,1.96,0.5
Brighton,10,2,11,3,3,0,1.72,1.65,-0.75,1.9,1.82,1.75,1.69,-0.75,1.9,1.85,0.5
Brighton,10,2,9,3,2,0,2.23,2.15,-0.25,1.89,1.85,2.4,2.3,-0.25,2.06,1.98,0.5
Brighton,24,8,8,8,1,0,2.15,2.08,-0.5,2.14,2.08,2.3,2.2,-0.25,1.95,1.89,0.0
Brighton,9,5,13,10,2,0,3.4,3.04,0.25,1.86,1.82,3.47,3.23,0.25,1.95,1.91,1.0
Brighton,8,2,10,4,0,0,7.0,6.31,1.0,1.88,1.82,7.6,6.82,1.0,2.02,1.95,0.0
Brighton,12,2,7,6,1,0,6.5,5.99,1.0,1.98,1.92,6.6,6.1,1.0,1.89,1.83,0.0
Brighton,3,0,7,2,1,0,12.0,9.95,1.5,2.08,2.03,16.25,12.13,1.75,2.16,2.03,0.0
Brighton,11,3,13,9,4,0,2.0,1.93,-0.5,1.98,1.93,2.05,1.99,-0.5,2.06,2.0,0.5
Brighton,5,3,11,2,1,0,4.6,4.26,0.5,1.98,1.94,4.2,4.04,0.5,1.91,1.84,1.0
Brighton,6,2,6,1,1,0,36.0,30.92,2.75,1.98,1.94,38.0,31.01,2.5,2.05,1.95,0.0
Brighton,16,3,8,3,1,0,3.2,3.07,0.25,1.82,1.78,3.4,3.23,0.25,1.91,1.86,0.5
Brighton,8,1,13,2,3,0,8.5,7.64,1.25,1.95,1.9,8.5,7.74,1.25,2.01,1.9,0.0
Brighton,20,5,17,5,2,1,3.15,3.05,0.25,1.89,1.85,3.32,3.03,0.25,1.9,1.83,0.0
Brighton,6,2,14,2,5,0,6.5,5.82,0.75,2.04,1.99,6.75,6.18,0.75,2.16,2.07,0.0
Brighton,12,5,10,5,0,0,17.25,14.67,2.0,1.86,1.81,17.0,14.46,2.0,1.96,1.83,0.0
Brighton,20,9,11,9,1,0,5.85,5.41,1.0,1.91,1.86,6.3,5.07,0.75,2.13,2.08,1.0
Brighton,15,10,12,7,1,0,3.0,2.91,-0.0,2.12,2.06,2.85,2.68,-0.0,1.93,1.88,0.5
Brighton,11,5,9,2,2,0,6.11,5.73,1.0,2.01,1.94,6.75,6.28,1.0,2.06,2.01,0.0
Brighton,9,2,7,3,1,0,4.49,4.16,0.5,2.02,1.97,4.2,3.96,0.5,2.0,1.95,0.0
Brighton,21,8,12,8,1,0,2.6,2.47,-0.0,1.83,1.78,2.7,2.57,-0.0,1.96,1.85,0.0
Brighton,19,6,9,6,1,0,2.9,2.8,-0.0,2.07,2.02,3.05,2.87,-0.0,2.19,2.06,0.5
Brighton,8,2,6,2,2,0,4.5,4.31,0.5,1.96,1.92,4.75,4.37,0.5,2.03,1.95,0.5
Brighton,7,1,7,0,3,0,6.0,5.48,0.75,2.08,2.04,5.55,5.23,0.75,1.99,1.93,0.5
Brighton,10,2,13,7,2,0,6.15,5.64,0.75,2.12,2.07,6.25,5.86,1.0,1.85,1.79,0.5
Brighton,8,2,13,2,2,0,2.33,2.23,-0.25,1.95,1.92,2.33,2.2,-0.25,2.0,1.89,1.0
Brighton,10,2,10,2,0,0,3.68,3.53,0.25,2.05,2.0,3.5,3.25,0.25,2.01,1.91,0.5
Brighton,14,4,11,7,0,0,3.26,3.09,0.25,1.93,1.87,2.89,2.75,-0.0,2.05,1.99,1.0
