Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Burnley,10,4,6,2,0,0,2.8,2.68,0.0,1.94,1.91,2.72,2.65,0.0,1.9,1.86,1.0
Burnley,7,2,10,6,0,0,11.0,9.45,1.5,1.92,1.89,10.0,8.83,1.5,1.96,1.89,0.0
Burnley,13,6,11,7,0,0,2.05,1.99,-0.5,2.02,1.99,2.07,2.02,-0.5,2.05,2.01,1.0
Burnley,9,3,5,7,2,0,3.05,2.93,0.25,1.79,1.76,3.3,3.19,0.25,1.88,1.84,1.0
Burnley,13,5,7,5,3,0,4.8,4.53,0.75,1.96,1.93,5.7,5.05,1.0,1.8,1.7,0.0
Burnley,14,12,17,11,2,0,2.33,2.27,-0.25,2.0,1.97,2.22,2.16,-0.25,1.91,1.88,1.0
Burnley,15,4,13,5,2,0,2.38,2.31,-0.25,2.02,1.98,2.25,2.05,-0.25,1.95,1.76,0.0
Burnley,4,2,9,3,1,0,13.0,11.59,1.75,1.96,1.93,13.0,11.2,2.0,1.98,1.8,0.0
Burnley,7,4,15,4,0,0,2.02,1.96,-0.5,1.99,1.94,2.05,1.99,-0.5,2.02,1.98,1.0
Burnley,8,1,17,5,4,0,4.6,4.31,0.5,2.08,2.03,4.55,4.22,0.5,2.05,1.98,0.0
Burnley,20,1,12,8,1,0,1.85,1.81,-0.75,2.11,2.05,2.04,1.97,-0.5,2.05,1.97,0.0
Burnley,8,5,14,4,1,0,4.35,4.19,0.5,2.05,2.0,4.68,4.27,0.5,2.06,2.01,1.0
Burnley,15,2,8,5,1,0,3.95,3.75,0.5,1.9,1.85,4.26,3.93,0.5,1.99,1.93,0.5
Burnley,16,10,9,7,4,0,2.25,2.15,-0.25,1.9,1.83,2.34,2.25,-0.25,1.97,1.92,1.0
Burnley,21,8,16,3,5,0,2.8,2.72,0.0,1.99,1.94,2.84,2.73,0.0,2.0,1.94,0.5
Burnley,9,5,13,1,1,0,3.18,3.02,0.0,2.2,2.12,3.86,3.59,0.25,2.07,1.99,1.0
Burnley,9,4,8,3,0,0,3.02,2.91,0.0,2.04,1.99,3.36,3.16,0.25,1.84,1.74,0.5
Burnley,9,1,10,3,0,0,5.0,4.65,0.5,2.03,1.97,5.0,4.63,0.5,2.01,1.95,0.5
Burnley,13,2,11,6,3,0,2.38,2.32,-0.25,2.05,2.0,2.75,2.62,0.0,1.96,1.89,0.0
Burnley,18,5,11,7,1,0,11.0,9.48,1.5,1.95,1.9,10.0,8.77,1.5,1.94,1.84,0.0
Burnley,13,4,11,3,2,0,5.06,4.78,0.5,2.1,2.05,5.6,5.21,0.75,1.9,1.86,0.5
Burnley,7,1,7,6,2,0,3.8,3.62,0.25,2.11,2.05,3.8,3.64,0.25,2.12,2.07,0.5
Burnley,10,3,16,3,4,0,3.18,3.08,0.25,1.87,1.84,3.26,3.19,0.25,1.92,1.89,0.5
Burnley,13,4,10,4,3,0,6.8,6.37,1.0,1.92,1.89,7.5,6.85,1.0,2.16,2.09,0.0
Burnley,6,0,12,6,2,0,3.6,3.46,0.25,1.98,1.94,3.65,3.5,0.25,2.03,1.97,0.0
Burnley,11,5,13,5,3,0,3.35,3.2,0.25,1.91,1.87,3.55,3.43,0.25,1.98,1.95,1.0
Burnley,7,1,8,1,1,0,9.1,7.98,1.25,2.0,1.95,8.5,7.55,1.25,2.01,1.91,0.0
Burnley,2,1,21,5,4,0,3.05,2.97,0.25,1.85,1.8,3.22,3.08,0.25,1.9,1.84,1.0
Burnley,6,0,14,2,0,0,5.65,5.15,0.75,1.99,1.94,5.37,5.12,0.75,1.95,1.9,0.0
Burnley,7,2,4,3,3,0,13.0,11.06,1.5,2.08,2.01,11.5,9.71,1.5,1.97,1.84,0.0
Burnley,5,2,7,2,2,0,9.5,8.43,1.25,1.98,1.92,8.8,7.8,1.25,1.86,1.82,1.0
Burnley,9,6,11,3,2,0,5.1,4.7,0.75,1.9,1.85,5.6,5.11,0.75,2.13,2.02,1.0
Burnley,8,1,9,7,3,0,3.0,2.9,-0.0,2.1,2.02,2.85,2.76,-0.0,2.0,1.94,0.5
Burnley,1,0,7,1,1,0,26.0,19.85,2.5,1.9,1.84,30.0,21.48,2.25,2.03,1.95,0.0
Burnley,8,4,13,1,1,0,3.55,3.41,0.25,1.97,1.92,4.56,4.31,0.5,1.88,1.84,1.0
Burnley,8,4,7,3,1,0,4.05,3.89,0.5,1.9,1.85,4.75,4.44,0.5,2.1,2.03,1.0
Burnley,6,2,4,6,2,0,13.0,11.44,1.75,1.95,1.92,19.5,13.12,1.75,2.08,1.98,0.5
Burnley,23,8,16,8,0,0,2.36,2.25,-0.25,1.95,1.93,2.4,2.3,-0.25,2.04,1.98,1.0
