Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Chelsea,14,5,9,4,1,0,1.77,1.73,-0.75,1.99,1.95,1.8,1.73,-0.75,2.01,1.94,0.5
Chelsea,13,5,6,3,0,0,1.4,1.36,-1.5,2.19,2.11,1.46,1.41,-1.25,2.11,1.97,0.5
Chelsea,13,2,8,6,3,0,3.75,3.58,0.5,1.88,1.85,3.44,3.25,0.25,2.17,1.99,0.0
Chelsea,24,10,5,5,2,0,1.47,1.44,-1.25,2.04,1.99,1.46,1.43,-1.25,2.07,1.99,1.0
Chelsea,16,8,9,11,2,0,1.34,1.31,-1.5,1.95,1.88,1.3,1.28,-1.5,1.89,1.83,1.0
Chelsea,23,5,9,7,3,0,1.37,1.34,-1.5,2.0,1.97,1.47,1.43,-1.25,2.02,1.97,1.0
Chelsea,19,6,0,9,0,0,1.33,1.3,-1.5,1.87,1.82,1.32,1.29,-1.75,2.05,1.99,0.0
Chelsea,25,9,18,9,2,0,1.33,1.3,-1.5,1.88,1.84,1.38,1.34,-1.5,1.97,1.91,1.0
Chelsea,18,5,9,9,1,0,1.28,1.25,-1.75,1.9,1.85,1.26,1.23,-2.0,2.12,2.06,0.0
Chelsea,10,3,10,8,3,0,1.39,1.35,-1.5,2.06,1.99,1.43,1.39,-2.5,3.95,3.66,0.0
Chelsea,18,8,7,10,0,0,1.33,1.29,-1.5,1.89,1.86,1.38,1.34,-1.5,2.16,2.03,1.0
Chelsea,19,8,11,17,2,0,1.79,1.74,-0.75,1.98,1.94,1.79,1.74,-0.75,2.0,1.95,0.5
Chelsea,17,1,11,9,4,0,1.93,1.86,-0.5,1.91,1.86,2.05,1.98,-0.5,2.05,1.97,0.0
Chelsea,17,7,14,3,1,0,1.78,1.73,-0.75,1.99,1.95,1.92,1.87,-0.5,1.91,1.87,1.0
Chelsea,17,11,8,6,1,0,1.95,1.87,-0.5,1.91,1.86,2.0,1.87,-0.5,2.0,1.86,1.0
Chelsea,15,10,13,5,1,0,4.4,4.14,0.75,1.91,1.85,4.45,4.2,0.75,1.86,1.82,1.0
Chelsea,21,9,9,5,0,0,1.46,1.43,-1.25,2.04,1.99,1.45,1.37,-1.25,1.9,1.84,1.0
Chelsea,22,6,10,8,2,0,1.14,1.13,-2.5,2.12,2.03,1.15,1.12,-2.5,2.07,2.01,1.0
Chelsea,11,3,10,3,2,0,1.9,1.84,-0.5,1.9,1.84,1.99,1.91,-0.5,1.98,1.92,1.0
Chelsea,18,7,13,5,4,0,3.63,3.49,0.25,2.04,2.0,4.4,3.99,0.5,1.91,1.85,0.0
Chelsea,23,8,9,8,1,0,1.87,1.83,-0.75,2.09,2.05,1.9,1.85,-0.5,1.9,1.86,1.0
Chelsea,15,6,11,5,2,0,2.6,2.46,-0.25,2.16,2.12,2.45,2.39,-0.25,2.12,2.06,1.0
Chelsea,13,7,15,4,1,0,1.93,1.87,-0.5,1.93,1.87,1.75,1.71,-1.0,2.28,2.21,1.0
Chelsea,16,7,8,6,2,0,1.8,1.75,-0.75,2.0,1.96,1.75,1.69,-1.0,2.3,2.24,1.0
Chelsea,16,10,5,6,2,0,1.7,1.65,-1.0,2.19,2.11,1.68,1.63,-1.0,2.12,2.06,1.0
Chelsea,11,2,9,2,1,0,7.1,6.64,1.25,1.99,1.94,7.75,7.18,1.5,1.94,1.84,0.0
Chelsea,15,4,9,5,0,0,2.08,2.02,-0.5,2.06,2.02,2.21,2.13,-0.25,1.91,1.87,0.0
Chelsea,13,3,11,5,3,0,3.05,2.88,0.25,1.85,1.81,3.3,3.0,0.25,1.9,1.85,1.0
Chelsea,13,4,19,3,4,0,2.45,2.35,-0.25,2.11,2.05,2.42,2.33,-0.25,2.22,2.04,1.0
Chelsea,16,5,15,3,3,0,2.1,2.01,-0.5,2.06,2.0,1.98,1.91,-0.5,1.96,1.91,0.5
Chelsea,19,4,14,10,1,0,1.57,1.52,-1.0,1.91,1.86,1.62,1.58,-1.0,2.06,1.99,0.0
Chelsea,7,3,14,6,2,0,2.82,2.72,-0.0,2.05,1.99,2.85,2.73,-0.0,2.06,1.99,0.5
Chelsea,23,6,5,14,2,0,1.83,1.76,-0.75,2.05,1.99,1.99,1.89,-0.5,1.99,1.91,0.5
Chelsea,19,5,17,10,1,0,1.57,1.53,-1.0,1.89,1.85,1.51,1.47,-1.25,2.12,2.06,1.0
Chelsea,17,6,9,3,1,0,1.65,1.59,-1.0,2.07,2.02,1.49,1.46,-1.25,2.09,2.03,0.0
Chelsea,14,6,10,9,0,0,1.46,1.43,-1.25,2.04,1.99,1.51,1.47,-1.0,1.87,1.79,1.0
Chelsea,15,4,6,6,0,0,1.65,1.6,-1.0,2.12,2.06,1.78,1.74,-0.75,2.03,1.96,0.0
Chelsea,10,5,11,0,0,0,3.7,3.51,0.5,1.87,1.82,4.25,3.97,0.5,2.04,1.96,0.0
