Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Crystal Palace,6,2,16,6,2,0,3.21,3.13,0.25,1.88,1.84,3.55,3.41,0.25,2.03,1.96,0.5
Crystal Palace,22,5,15,13,2,0,2.27,2.21,-0.25,1.92,1.89,2.34,2.27,-0.25,1.98,1.95,1.0
Crystal Palace,13,4,7,6,2,0,2.7,2.64,0.0,1.88,1.84,2.95,2.75,0.0,2.02,1.94,0.5
Crystal Palace,15,3,14,5,3,0,2.0,1.94,-0.5,1.97,1.93,1.96,1.91,-0.5,1.95,1.91,1.0
Crystal Palace,7,2,8,1,1,0,13.0,11.88,1.75,2.04,1.99,14.0,12.15,2.0,1.95,1.86,0.0
Crystal Palace,12,3,15,5,2,0,3.65,3.5,0.25,2.06,2.02,3.87,3.74,0.5,1.9,1.84,0.0
Crystal Palace,16,6,8,9,0,0,8.0,7.33,1.25,1.88,1.85,7.5,6.86,1.0,2.17,2.11,0.0
Crystal Palace,7,2,6,6,3,1,2.34,2.24,-0.25,2.0,1.94,2.3,2.22,-0.25,1.97,1.93,1.0
Crystal Palace,11,4,7,3,1,0,2.65,2.55,0.0,1.86,1.81,3.0,2.8,0.0,2.07,1.99,0.5
Crystal Palace,13,4,5,7,0,0,2.45,2.32,-0.25,2.06,2.0,2.37,2.26,-0.25,2.02,1.96,1.0
Crystal Palace,6,3,14,1,2,0,4.45,4.19,0.75,1.86,1.8,4.9,4.57,0.75,2.0,1.88,0.5
Crystal Palace,6,0,12,0,1,0,2.85,2.73,0.0,1.99,1.93,2.9,2.78,0.0,2.02,1.96,0.0
Crystal Palace,13,3,9,9,3,0,3.2,3.11,0.0,2.2,2.13,3.25,3.09,0.25,1.82,1.74,0.0
Crystal Palace,18,9,15,7,2,0,2.05,1.96,-0.5,2.02,1.96,2.26,2.18,-0.25,1.93,1.87,1.0
Crystal Palace,10,3,12,8,4,0,2.65,2.57,0.0,1.85,1.8,2.8,2.7,0.0,1.95,1.89,1.0
Crystal Palace,17,4,12,9,1,0,2.42,2.29,-0.25,2.02,1.95,2.11,2.02,-0.5,2.11,2.04,0.0
Crystal Palace,13,4,11,7,1,0,9.05,8.43,1.25,1.94,1.89,8.5,7.62,1.0,2.16,2.11,0.0
Crystal Palace,13,5,10,2,1,0,10.9,9.84,1.5,1.92,1.85,10.25,8.68,1.25,2.17,2.09,0.0
Crystal Palace,13,2,11,7,3,0,6.75,6.12,1.0,2.01,1.94,8.3,6.87,1.25,1.87,1.81,0.5
Crystal Palace,6,4,11,4,1,0,3.1,2.95,0.25,1.76,1.73,3.1,3.01,0.25,1.84,1.78,0.0
Crystal Palace,5,3,18,1,4,0,10.75,9.16,1.5,1.87,1.81,10.0,9.26,1.5,2.04,1.89,1.0
Crystal Palace,11,6,11,3,2,0,9.0,8.24,1.25,2.04,1.99,8.5,7.7,1.25,1.98,1.92,0.0
Crystal Palace,7,4,7,2,2,0,4.0,3.8,0.5,1.92,1.88,3.88,3.76,0.5,1.95,1.89,1.0
Crystal Palace,10,4,9,5,0,0,7.0,6.49,1.25,1.89,1.84,7.2,6.63,1.25,1.91,1.87,0.5
Crystal Palace,3,1,17,0,2,0,10.25,9.29,1.5,1.95,1.92,8.25,7.61,1.25,1.95,1.92,0.0
Crystal Palace,7,2,10,6,0,0,3.5,3.3,0.25,1.95,1.9,4.18,3.84,0.25,2.26,2.15,1.0
Crystal Palace,3,0,16,2,2,0,3.22,3.12,0.25,1.89,1.85,3.2,3.03,0.25,1.84,1.8,0.5
Crystal Palace,16,4,11,5,0,0,3.4,3.22,0.25,1.88,1.82,3.4,3.27,0.25,1.88,1.83,0.0
Crystal Palace,5,2,7,4,2,0,4.1,3.91,0.5,1.94,1.89,4.5,4.1,0.5,1.99,1.91,0.5
Crystal Palace,12,3,9,5,0,0,2.88,2.77,-0.0,2.06,2.02,3.25,3.1,0.25,1.92,1.84,0.5
Crystal Palace,5,3,7,2,2,0,30.0,24.53,2.5,2.08,2.03,45.0,29.18,2.75,2.05,1.98,0.5
Crystal Palace,10,2,12,6,1,0,6.75,6.02,0.75,2.12,2.05,6.35,5.92,0.75,2.13,2.02,0.0
Crystal Palace,12,3,9,7,1,0,4.15,3.93,0.5,1.84,1.8,4.0,3.7,0.25,2.03,1.98,1.0
Crystal Palace,7,2,15,4,2,0,3.2,2.98,0.25,1.81,1.76,3.2,2.87,-0.0,2.12,1.98,1.0
Crystal Palace,3,0,5,0,0,0,16.0,13.09,1.5,2.12,2.07,14.0,11.79,1.5,2.17,2.0,0.0
Crystal Palace,7,1,8,7,1,0,6.5,5.84,0.75,2.03,1.99,6.5,5.91,0.75,2.1,2.04,0.0
Crystal Palace,9,5,21,1,4,1,3.45,3.24,0.25,1.97,1.91,3.3,3.13,0.25,1.89,1.85,0.0
Crystal Palace,7,3,15,2,1,0,8.3,7.72,1.0,2.02,1.97,10.3,8.68,1.0,2.15,2.11,0.0
