Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Everton,12,2,11,4,2,0,1.8,1.73,-0.75,2.0,1.94,1.89,1.83,-0.75,2.16,2.07,1.0
Everton,15,6,12,7,1,0,2.22,2.17,-0.25,1.87,1.85,2.15,2.07,-0.5,2.11,2.07,1.0
Everton,16,3,9,12,1,0,1.71,1.67,-0.75,1.91,1.87,1.81,1.76,-0.75,2.06,2.01,0.0
Everton,12,8,4,5,2,0,11.0,9.84,1.5,2.06,2.02,11.0,8.67,1.5,1.96,1.83,0.0
Everton,19,10,15,11,2,0,2.02,1.97,-0.5,2.01,1.97,2.0,1.81,-0.5,2.01,1.8,1.0
Everton,7,3,9,5,1,0,2.82,2.73,0.0,2.03,1.98,2.63,2.49,0.0,2.0,1.85,0.5
Everton,18,7,12,7,3,0,1.45,1.4,-1.5,2.15,2.1,1.4,1.35,-1.5,2.08,2.02,0.0
Everton,13,7,14,1,3,0,3.65,3.52,0.5,1.9,1.86,3.7,3.31,0.25,2.14,2.02,1.0
Everton,9,0,10,5,2,0,2.4,2.33,-0.25,2.09,2.03,2.22,2.12,-0.25,1.94,1.85,0.5
Everton,21,5,15,10,0,0,1.76,1.71,-0.75,1.99,1.92,1.78,1.74,-0.75,2.04,1.97,1.0
Everton,14,6,7,4,2,0,1.97,1.9,-0.5,1.95,1.9,2.0,1.93,-0.5,2.0,1.92,1.0
Everton,17,8,13,6,1,0,1.64,1.6,-1.0,2.14,2.07,1.6,1.5,-1.0,1.97,1.83,0.5
Everton,14,8,11,4,0,0,1.68,1.63,-0.75,1.89,1.83,1.7,1.65,-0.75,1.93,1.86,1.0
Everton,16,5,11,13,3,0,2.72,2.54,0.0,1.89,1.83,3.07,2.84,0.0,2.16,2.03,0.5
Everton,9,3,15,1,2,0,6.05,5.66,1.0,1.95,1.88,6.45,5.75,1.0,1.89,1.8,0.5
Everton,7,2,13,3,1,0,2.64,2.54,0.0,1.88,1.81,2.7,2.58,0.0,1.9,1.83,1.0
Everton,11,4,13,3,3,0,2.15,2.07,-0.5,2.12,2.06,2.17,2.09,-0.25,1.86,1.8,0.5
Everton,9,1,15,5,2,0,2.1,2.02,-0.5,2.05,2.02,2.21,2.12,-0.25,1.9,1.83,0.5
Everton,13,5,11,2,1,0,2.33,2.24,-0.25,2.0,1.96,2.46,2.35,-0.25,2.09,2.05,0.0
Everton,10,3,14,2,1,1,2.52,2.4,-0.25,2.09,2.04,2.34,2.23,-0.25,2.08,1.93,0.5
Everton,12,1,18,6,3,0,2.35,2.27,-0.25,2.01,1.97,2.5,2.42,-0.25,2.14,2.08,0.0
Everton,14,5,14,7,4,0,2.5,2.37,-0.25,2.09,2.05,2.3,2.21,-0.25,1.97,1.91,0.0
Everton,11,2,12,9,1,1,2.65,2.52,-0.25,2.21,2.15,2.5,2.4,-0.25,2.09,2.05,0.0
Everton,10,6,12,5,1,0,2.65,2.58,-0.0,1.9,1.85,2.85,2.74,-0.0,2.0,1.97,0.0
Everton,24,5,12,9,1,0,2.58,2.44,-0.25,2.13,2.09,2.45,2.36,-0.25,2.09,2.03,1.0
Everton,11,3,9,4,1,0,5.6,5.33,0.75,2.13,2.08,6.5,5.63,1.0,1.92,1.8,0.0
Everton,12,4,17,6,2,0,9.15,8.28,1.25,2.05,2.01,7.5,5.79,0.75,2.27,2.1,0.0
Everton,8,3,12,5,2,0,5.0,4.76,0.75,1.91,1.87,5.6,5.28,0.75,2.09,2.02,0.5
Everton,22,9,13,8,2,0,2.2,2.14,-0.25,1.89,1.84,2.39,2.3,-0.25,2.04,1.98,1.0
Everton,7,2,11,6,4,0,12.0,10.49,1.75,1.97,1.91,10.5,9.14,1.5,2.14,2.0,0.0
Everton,11,3,13,6,0,0,2.5,2.4,-0.25,2.15,2.07,2.6,2.46,-0.25,2.2,2.12,0.5
Everton,12,5,14,4,2,1,2.75,2.64,-0.0,1.96,1.9,2.7,2.46,-0.25,2.16,2.09,1.0
Everton,17,5,12,3,4,0,3.88,3.63,0.5,1.89,1.84,3.98,3.79,0.5,1.93,1.88,0.0
Everton,3,1,10,1,2,0,4.4,4.2,0.5,2.06,2.01,4.4,4.13,0.5,2.11,2.01,0.0
Everton,12,5,13,5,1,0,2.0,1.94,-0.5,1.99,1.93,1.92,1.87,-0.5,1.93,1.87,1.0
Everton,11,3,18,6,2,0,3.58,3.45,0.25,2.13,2.04,4.13,3.88,0.5,1.98,1.9,0.0
Everton,6,2,9,2,2,0,4.2,4.01,0.5,1.89,1.83,4.3,4.07,0.5,1.85,1.81,0.0
Everton,5,2,19,1,3,0,3.7,3.52,0.25,2.07,2.01,4.4,4.15,0.5,1.95,1.89,1.0
