Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Leicester,15,1,3,12,0,0,2.29,2.22,-0.25,1.95,1.91,2.55,2.41,-0.25,2.12,2.06,0.5
Leicester,13,5,9,4,1,0,1.77,1.72,-0.75,1.95,1.91,1.75,1.67,-0.75,1.9,1.86,1.0
Leicester,16,7,16,8,1,0,2.95,2.87,0.25,1.82,1.79,3.0,2.71,0.0,2.13,1.97,1.0
Leicester,13,5,12,9,1,0,1.56,1.53,-1.0,1.99,1.93,1.57,1.53,-1.0,1.95,1.9,1.0
Leicester,19,3,4,9,0,0,1.62,1.57,-1.0,2.03,1.99,1.55,1.5,-1.0,1.9,1.81,1.0
Leicester,19,7,10,5,1,0,2.08,1.99,-0.5,2.02,1.98,2.05,1.91,-0.5,2.05,1.91,1.0
Leicester,16,6,7,4,0,0,1.68,1.64,-0.75,1.85,1.81,1.67,1.62,-1.0,2.2,2.09,1.0
Leicester,12,6,13,7,3,0,1.4,1.36,-1.5,2.16,2.08,1.42,1.36,-1.5,2.08,2.0,1.0
Leicester,18,5,11,12,0,0,1.25,1.22,-2.0,2.09,2.04,1.26,1.24,-1.75,1.9,1.84,0.5
Leicester,3,0,5,2,1,0,3.5,3.38,0.25,2.1,2.05,3.84,3.53,0.5,1.99,1.91,0.0
Leicester,5,5,9,2,0,0,1.69,1.64,-1.0,2.17,2.1,1.8,1.7,-0.75,1.98,1.9,0.0
Leicester,19,8,10,7,1,0,1.62,1.53,-1.0,1.99,1.87,1.52,1.47,-1.25,2.11,2.03,1.0
Leicester,14,4,16,4,2,0,2.6,2.52,0.0,1.92,1.87,2.65,2.54,0.0,1.93,1.87,0.5
Leicester,10,3,14,3,0,0,4.75,4.49,0.75,1.99,1.94,5.75,5.31,1.0,2.05,1.92,0.0
Leicester,15,7,15,9,2,0,1.42,1.38,-1.5,2.16,2.06,1.56,1.52,-1.0,1.91,1.86,1.0
Leicester,11,2,10,6,2,0,1.68,1.64,-0.75,1.86,1.82,1.66,1.62,-1.0,2.17,2.1,0.5
Leicester,15,4,18,3,2,0,1.72,1.68,-0.75,1.93,1.89,1.7,1.65,-0.75,1.9,1.85,1.0
Leicester,15,7,12,9,1,0,2.1,2.02,-0.5,2.05,2.0,2.25,2.14,-0.25,1.88,1.83,1.0
Leicester,14,3,12,3,1,1,3.36,3.17,0.25,1.98,1.91,3.91,3.71,0.5,1.94,1.86,0.0
Leicester,12,3,14,5,0,0,5.35,5.07,0.75,1.97,1.94,5.7,5.0,0.75,2.06,1.96,0.5
Leicester,10,2,6,4,0,0,2.32,2.26,-0.25,1.95,1.92,2.48,2.36,-0.25,2.11,2.05,1.0
Leicester,9,3,14,9,2,0,4.5,4.12,0.5,2.08,1.95,4.0,3.7,0.25,2.15,2.05,0.0
Leicester,2,1,17,6,4,0,7.7,7.0,1.25,1.89,1.85,6.5,5.65,1.0,1.95,1.9,0.0
Leicester,25,15,12,7,0,0,2.45,2.36,-0.25,2.06,2.02,2.5,2.39,-0.25,2.12,2.06,1.0
Leicester,14,5,16,6,2,0,2.25,2.17,-0.25,1.9,1.86,2.15,2.07,-0.5,2.1,2.05,1.0
Leicester,19,9,1,7,0,0,2.1,2.04,-0.25,1.8,1.76,2.08,2.01,-0.5,2.06,2.02,1.0
Leicester,23,8,15,5,2,0,1.9,1.82,-0.75,2.13,2.06,1.74,1.69,-1.0,2.21,2.16,1.0
Leicester,5,2,9,1,2,0,8.25,7.72,2.5,1.35,1.32,8.0,7.28,1.5,1.9,1.84,0.0
Leicester,13,8,4,5,1,0,1.93,1.86,-0.5,1.88,1.85,2.81,2.68,-0.0,2.04,1.98,1.0
Leicester,17,10,12,5,1,0,1.71,1.67,-0.75,1.92,1.86,1.91,1.84,-0.75,2.17,2.09,1.0
Leicester,18,8,8,5,0,0,1.93,1.87,-0.5,1.93,1.87,1.93,1.87,-0.5,1.93,1.87,0.0
Leicester,9,3,10,0,2,1,3.05,2.91,-0.0,2.12,2.07,3.0,2.81,-0.0,2.21,2.01,0.5
Leicester,19,4,16,7,2,0,1.78,1.74,-0.75,1.97,1.93,1.91,1.85,-0.75,2.15,2.09,0.0
Leicester,15,2,12,7,1,0,2.17,2.09,-0.25,1.84,1.8,2.17,2.06,-0.5,2.18,2.07,0.5
Leicester,15,3,10,5,1,0,3.05,2.9,-0.0,2.14,2.08,3.02,2.9,-0.0,2.14,2.06,0.0
Leicester,13,5,14,1,0,0,3.15,3.03,0.25,1.87,1.83,3.55,3.34,0.25,2.0,1.96,0.5
Leicester,13,5,12,6,1,1,1.75,1.7,-0.75,1.97,1.91,1.85,1.75,-0.75,2.06,1.98,0.0
Leicester,24,6,10,13,1,0,3.25,3.11,0.25,1.93,1.87,3.51,3.14,0.25,1.9,1.86,0.0
