Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Liverpool,15,7,9,11,0,0,1.16,1.14,-2.25,1.97,1.94,1.16,1.14,-2.25,1.99,1.9,1.0
Liverpool,25,5,8,6,1,0,1.53,1.5,-1.25,2.08,2.03,1.5,1.47,-1.25,2.08,1.96,1.0
Liverpool,21,9,5,10,0,0,1.18,1.15,-2.25,2.05,2.01,1.23,1.2,-1.75,1.92,1.82,1.0
Liverpool,18,8,9,4,1,0,1.5,1.46,-1.25,2.08,2.03,1.63,1.58,-1.0,2.05,1.98,1.0
Liverpool,21,13,9,8,3,0,1.57,1.54,-1.0,1.94,1.87,1.55,1.48,-1.25,2.06,2.01,1.0
Liverpool,12,5,10,4,0,0,2.7,2.56,0.0,2.01,1.89,2.8,2.69,0.0,2.04,1.98,1.0
Liverpool,15,7,3,4,0,1,1.23,1.21,-2.0,2.13,2.06,1.23,1.2,-2.0,2.13,2.05,1.0
Liverpool,11,5,13,5,1,0,1.42,1.39,-1.25,1.92,1.87,1.67,1.62,-0.75,1.85,1.8,1.0
Liverpool,16,6,8,6,2,0,1.2,1.17,-2.0,1.9,1.84,1.22,1.18,-2.25,2.18,2.1,1.0
Liverpool,10,3,7,5,1,0,1.32,1.28,-1.5,1.88,1.83,1.33,1.27,-1.5,1.88,1.83,1.0
Liverpool,19,7,5,8,0,0,1.25,1.23,-1.75,1.95,1.89,1.32,1.28,-1.5,2.01,1.9,1.0
Liverpool,16,5,7,11,1,0,1.4,1.37,-1.25,1.87,1.83,1.48,1.45,-1.25,2.13,2.04,1.0
Liverpool,16,9,9,6,0,0,1.31,1.28,-1.5,1.9,1.84,1.33,1.3,-1.5,2.05,1.96,1.0
Liverpool,25,7,4,16,0,0,1.19,1.17,-2.0,1.88,1.82,1.18,1.15,-2.25,2.07,2.02,1.0
Liverpool,14,6,10,9,0,0,1.29,1.25,-1.75,2.01,1.94,1.27,1.22,-2.0,2.15,2.08,1.0
Liverpool,21,7,7,6,0,0,1.27,1.24,-1.5,1.91,1.82,1.33,1.28,-1.5,1.96,1.88,1.0
Liverpool,6,4,18,7,1,0,1.38,1.35,-1.5,2.02,1.98,1.27,1.2,-2.0,2.2,1.99,1.0
Liverpool,23,9,7,12,1,0,1.28,1.25,-1.75,2.01,1.96,1.25,1.22,-1.75,1.96,1.89,0.5
Liverpool,10,7,8,6,1,0,2.13,2.04,-0.5,2.13,2.05,2.0,1.91,-0.5,1.95,1.91,1.0
Liverpool,15,6,6,9,1,0,1.52,1.47,-1.25,2.09,2.04,1.55,1.5,-1.0,1.9,1.81,1.0
Liverpool,15,7,16,4,0,0,1.37,1.33,-1.5,2.05,2.0,1.38,1.35,-1.5,2.05,2.0,1.0
Liverpool,6,3,13,4,3,0,2.1,2.04,-0.5,2.08,2.04,2.27,2.17,-0.25,1.98,1.9,1.0
Liverpool,16,4,4,5,1,0,1.39,1.36,-1.5,2.15,2.06,1.4,1.35,-1.5,2.14,2.06,1.0
Liverpool,10,4,14,1,1,0,1.74,1.7,-0.75,1.95,1.9,2.03,1.98,-0.5,2.05,1.99,0.5
Liverpool,25,6,9,10,2,0,1.39,1.36,-1.5,2.04,2.0,1.35,1.3,-1.75,2.1,2.04,1.0
Liverpool,12,4,7,8,1,0,1.48,1.45,-1.25,2.09,2.03,1.53,1.49,-1.0,1.83,1.78,1.0
Liverpool,21,9,6,3,1,0,1.47,1.42,-1.25,1.96,1.92,1.55,1.5,-1.0,1.9,1.82,1.0
Liverpool,15,6,7,8,1,0,2.16,2.08,-0.25,1.87,1.81,2.01,1.96,-0.5,2.01,1.96,1.0
Liverpool,13,7,8,3,2,0,1.74,1.7,-0.75,1.96,1.9,1.76,1.7,-0.75,1.96,1.9,1.0
Liverpool,13,6,11,4,1,0,1.69,1.64,-0.75,1.87,1.81,1.72,1.67,-0.75,1.95,1.87,1.0
Liverpool,13,5,6,7,0,0,1.36,1.33,-1.5,2.04,1.96,1.39,1.35,-1.5,2.19,2.05,1.0
Liverpool,17,6,11,7,2,0,1.31,1.29,-1.5,1.94,1.87,1.39,1.34,-1.5,2.14,2.01,1.0
Liverpool,7,1,8,5,0,0,1.45,1.42,-1.25,2.05,1.97,1.53,1.48,-1.0,1.85,1.78,0.0
Liverpool,10,3,12,6,2,0,1.64,1.59,-1.0,2.04,2.0,1.68,1.62,-1.0,2.19,2.09,0.5
Liverpool,11,3,7,3,2,0,3.52,3.32,0.5,1.85,1.81,3.88,3.57,0.5,1.99,1.85,0.0
Liverpool,19,8,15,10,4,0,1.62,1.56,-1.0,2.01,1.96,1.64,1.58,-1.0,2.17,2.06,1.0
Liverpool,24,8,10,13,1,0,1.95,1.89,-0.5,1.93,1.88,1.77,1.72,-0.75,1.95,1.9,0.0
Liverpool,14,6,5,4,0,0,1.45,1.4,-1.5,2.14,2.08,1.62,1.56,-1.0,2.0,1.92,1.0
