Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Man City,30,10,14,13,1,0,1.4,1.36,-1.5,2.04,2.0,1.4,1.36,-1.5,2.07,2.0,0.5
Man City,15,6,10,8,1,0,1.1,1.09,-2.75,1.98,1.95,1.1,1.09,-2.5,2.0,1.94,1.0
Man City,28,11,5,5,2,0,1.13,1.11,-2.5,1.99,1.95,1.13,1.1,-2.5,1.93,1.88,1.0
Man City,18,2,11,9,5,0,1.14,1.13,-2.25,1.94,1.9,1.17,1.14,-2.25,2.06,1.99,0.0
Man City,25,9,10,13,1,1,1.11,1.09,-3.0,2.09,2.04,1.1,1.08,-3.25,2.21,2.15,1.0
Man City,26,4,11,17,3,0,1.11,1.08,-3.0,2.12,2.07,1.1,1.07,-3.0,2.25,1.97,1.0
Man City,15,4,5,8,1,0,1.48,1.45,-1.25,1.99,1.93,1.45,1.39,-1.5,2.2,2.04,1.0
Man City,22,5,10,16,3,0,1.35,1.31,-1.5,1.92,1.87,1.37,1.33,-1.5,2.05,1.93,0.0
Man City,23,12,14,6,2,0,1.4,1.37,-2.5,3.65,3.38,1.42,1.38,-1.5,2.12,2.03,1.0
Man City,16,4,5,8,1,0,1.21,1.18,-2.0,1.95,1.88,1.25,1.23,-2.0,2.12,2.06,1.0
Man City,16,7,11,3,0,0,1.3,1.27,-1.75,2.01,1.95,1.35,1.32,-1.5,1.95,1.88,1.0
Man City,25,6,9,14,1,0,1.13,1.1,-2.5,1.9,1.83,1.12,1.08,-2.75,1.95,1.9,0.5
Man City,20,7,5,6,0,0,1.15,1.13,-2.5,2.01,1.94,1.15,1.12,-2.5,1.98,1.92,1.0
Man City,20,12,9,5,1,0,1.4,1.35,-1.5,1.99,1.92,1.35,1.28,-1.75,2.01,1.95,1.0
Man City,19,7,8,3,1,0,1.16,1.13,-2.5,2.1,2.04,1.2,1.14,-2.25,1.98,1.93,1.0
Man City,14,6,8,3,2,0,2.14,2.07,-0.5,2.12,2.06,2.1,2.02,-0.5,2.07,2.03,1.0
Man City,23,9,12,8,0,0,1.16,1.13,-2.25,1.92,1.86,1.12,1.1,-2.75,2.08,2.02,1.0
Man City,8,4,10,3,1,0,1.18,1.15,-2.25,1.93,1.86,1.18,1.15,-2.25,1.97,1.88,1.0
Man City,31,10,7,9,1,0,1.1,1.07,-3.0,2.0,1.95,1.07,1.04,-3.75,2.06,2.02,1.0
Man City,14,9,13,1,2,0,1.29,1.25,-1.75,1.92,1.89,1.29,1.26,-1.75,1.98,1.92,1.0
Man City,19,5,13,5,3,0,1.22,1.19,-2.0,1.9,1.87,1.2,1.17,-2.25,2.09,1.98,1.0
Man City,25,8,7,16,1,0,1.18,1.15,-2.5,2.11,2.02,1.12,1.09,-3.0,2.3,2.14,0.0
Man City,20,9,8,2,2,0,1.33,1.3,-1.5,1.91,1.87,1.4,1.35,-1.5,2.17,2.05,1.0
Man City,21,10,10,8,1,0,1.26,1.24,-1.75,1.96,1.89,1.25,1.22,-2.0,2.07,2.01,1.0
Man City,18,3,5,13,2,0,2.78,2.68,-0.0,2.05,1.99,2.83,2.55,-0.0,2.08,1.9,0.0
Man City,24,9,6,10,2,0,1.21,1.18,-2.0,1.96,1.9,1.24,1.21,-2.0,2.08,1.98,0.5
Man City,17,8,6,6,1,0,1.28,1.25,-1.75,2.01,1.95,1.26,1.24,-2.0,2.18,2.09,1.0
Man City,14,7,24,3,4,0,1.49,1.45,-1.25,1.95,1.9,1.42,1.39,-1.5,2.05,1.99,1.0
Man City,7,3,13,1,1,1,1.44,1.4,-1.25,1.92,1.87,1.47,1.41,-1.25,1.97,1.89,0.0
Man City,22,12,12,4,1,0,1.2,1.17,-2.25,1.98,1.93,1.2,1.15,-2.5,2.19,2.07,1.0
Man City,18,5,13,13,3,0,1.47,1.43,-1.25,2.02,1.96,1.45,1.41,-1.25,2.02,1.91,1.0
Man City,18,5,14,6,3,1,1.62,1.56,-1.0,1.96,1.9,1.6,1.53,-1.0,1.9,1.83,0.0
Man City,18,7,10,7,0,0,1.83,1.73,-0.75,2.05,1.93,1.65,1.59,-1.0,2.05,1.95,1.0
Man City,7,2,9,11,4,0,1.7,1.64,-0.75,1.85,1.8,1.84,1.78,-0.75,2.11,2.01,0.0
Man City,11,2,3,7,1,1,1.87,1.8,-0.75,2.06,2.02,1.98,1.82,-0.75,2.16,2.07,0.0
Man City,26,6,7,13,2,0,1.36,1.33,-1.5,2.0,1.94,1.35,1.32,-1.5,1.99,1.93,0.0
Man City,26,8,3,7,0,0,1.35,1.31,-1.5,1.94,1.86,1.32,1.24,-1.75,1.93,1.85,1.0
Man City,26,10,11,8,0,0,1.37,1.33,-1.5,1.99,1.94,1.33,1.3,-1.5,1.91,1.85,1.0
