Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Man United,11,5,15,3,3,0,2.28,2.19,-0.25,1.92,1.89,2.2,2.05,-0.5,2.1,2.04,1.0
Man United,22,3,8,8,2,0,1.39,1.36,-1.5,2.13,2.07,1.38,1.35,-1.5,2.05,1.99,0.0
Man United,10,5,14,3,1,0,2.0,1.94,-0.5,1.99,1.93,2.22,2.13,-0.25,1.9,1.84,1.0
Man United,16,4,18,8,4,0,2.43,2.36,-0.25,2.08,2.05,2.35,2.24,-0.25,1.99,1.94,0.5
Man United,7,2,6,3,0,0,5.5,5.03,0.75,2.02,1.98,4.3,4.06,0.5,1.95,1.9,0.5
Man United,21,11,10,5,2,0,1.72,1.67,-0.75,1.92,1.89,1.68,1.64,-0.75,1.9,1.83,1.0
Man United,16,6,16,9,4,0,1.55,1.49,-1.0,1.87,1.81,1.48,1.46,-1.25,2.11,2.01,0.5
Man United,12,7,9,4,0,0,2.77,2.69,0.0,2.01,1.97,2.72,2.59,0.0,1.94,1.87,1.0
Man United,24,8,10,6,1,0,1.82,1.78,-0.75,2.05,2.0,1.72,1.67,-0.75,1.92,1.85,0.5
Man United,22,10,10,5,2,0,1.39,1.35,-1.5,2.09,2.03,1.4,1.35,-1.5,2.1,2.03,1.0
Man United,13,6,18,4,0,0,1.4,1.36,-1.5,2.11,2.05,1.37,1.33,-1.5,2.06,1.99,1.0
Man United,24,7,11,5,0,0,1.45,1.41,-1.25,2.03,1.95,1.5,1.45,-1.25,2.15,2.07,0.0
Man United,15,5,14,4,3,0,2.33,2.23,-0.25,1.95,1.91,2.22,2.13,-0.25,1.86,1.82,0.5
Man United,21,9,6,3,0,0,1.65,1.6,-1.0,2.13,2.06,1.64,1.58,-1.0,2.14,2.06,1.0
Man United,12,6,11,2,2,0,5.5,5.04,0.75,2.13,2.07,4.9,4.51,0.75,1.91,1.87,1.0
Man United,15,6,10,10,1,0,1.5,1.43,-1.25,2.08,2.03,1.4,1.37,-1.25,1.95,1.88,1.0
Man United,19,10,13,8,0,0,1.19,1.17,-2.0,1.99,1.92,1.22,1.19,-1.75,1.85,1.8,1.0
Man United,8,4,14,4,1,0,1.33,1.29,-1.5,2.02,1.93,1.31,1.28,-1.75,2.13,2.04,0.5
Man United,11,4,10,2,3,0,1.28,1.24,-1.75,1.97,1.92,1.3,1.26,-1.75,2.09,1.98,0.5
Man United,9,2,8,6,2,0,2.35,2.3,-0.25,2.02,1.97,2.61,2.49,-0.25,2.25,2.15,0.5
Man United,21,8,7,3,2,0,2.15,2.1,-0.25,1.83,1.8,2.04,1.97,-0.5,2.0,1.97,0.5
Man United,9,3,9,7,2,0,2.28,2.21,-0.25,1.98,1.93,2.45,2.34,-0.25,2.12,2.05,0.0
Man United,12,3,10,6,3,0,1.95,1.9,-0.5,1.95,1.9,2.14,2.08,-0.25,1.83,1.78,0.0
Man United,21,11,10,10,2,0,1.87,1.8,-0.75,2.09,2.04,1.91,1.82,-0.75,2.15,2.06,1.0
Man United,15,4,12,10,3,0,2.26,2.19,-0.25,1.95,1.89,2.15,2.09,-0.5,2.14,2.09,0.0
Man United,11,5,10,3,2,0,2.25,2.18,-0.25,1.91,1.87,2.14,2.09,-0.5,2.14,2.09,0.5
Man United,11,7,10,3,2,0,11.0,9.9,1.5,2.06,2.01,9.75,8.91,1.5,2.01,1.95,1.0
Man United,17,8,11,5,1,0,1.85,1.8,-0.75,2.11,2.04,1.85,1.77,-0.75,2.07,2.0,0.0
Man United,14,5,10,4,3,0,1.91,1.85,-0.5,1.9,1.84,1.96,1.9,-0.5,1.93,1.89,1.0
Man United,10,4,15,4,0,0,2.7,2.61,-0.0,2.01,1.95,2.72,2.58,-0.0,1.98,1.92,0.0
Man United,9,4,10,5,3,0,9.5,8.31,1.25,2.11,2.04,8.2,7.28,1.25,1.94,1.84,0.0
Man United,9,3,11,8,3,0,4.6,4.35,0.5,2.07,2.01,4.45,4.04,0.5,2.01,1.89,1.0
Man United,14,5,11,8,4,0,2.95,2.85,-0.0,2.09,2.03,2.65,2.57,-0.0,1.89,1.84,0.5
Man United,12,6,18,6,1,0,2.5,2.43,-0.25,2.11,2.07,2.3,2.25,-0.25,1.97,1.94,0.5
Man United,12,6,9,5,1,0,1.64,1.61,-1.0,2.14,2.08,1.57,1.53,-1.0,1.99,1.93,1.0
Man United,14,6,13,5,3,0,1.38,1.35,-1.5,2.06,2.01,1.36,1.33,-1.5,2.03,1.96,1.0
Man United,17,5,15,7,2,0,1.38,1.35,-1.5,2.1,2.03,1.39,1.35,-1.25,1.94,1.8,1.0
Man United,7,3,11,3,4,0,2.35,2.24,-0.25,2.01,1.92,2.15,2.02,-0.5,2.05,2.02,1.0
