Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Newcastle,9,2,12,5,1,0,4.7,4.49,0.75,1.88,1.85,3.76,3.36,0.25,2.17,2.0,0.0
Newcastle,13,5,5,6,2,0,2.73,2.63,0.0,1.92,1.88,2.63,2.53,-0.25,2.2,2.15,0.5
Newcastle,11,4,12,5,2,0,2.55,2.5,-0.25,2.16,2.12,2.5,2.4,-0.25,2.11,2.03,0.5
Newcastle,12,2,12,4,3,0,4.6,4.42,0.5,2.02,1.98,4.18,3.9,0.25,2.26,2.13,1.0
Newcastle,13,2,8,3,2,1,3.1,3.02,0.0,2.14,2.09,3.55,3.4,0.25,1.9,1.86,0.5
Newcastle,20,9,10,5,2,0,2.72,2.64,0.0,1.91,1.87,2.7,2.61,0.0,1.94,1.86,1.0
Newcastle,6,3,4,1,1,0,18.0,15.11,2.0,2.02,1.98,15.0,12.15,2.0,2.04,1.9,0.5
Newcastle,12,6,11,3,1,0,2.7,2.59,0.0,1.88,1.84,2.7,2.6,0.0,1.93,1.86,1.0
Newcastle,8,3,12,4,2,0,2.53,2.43,-0.25,2.1,2.05,2.53,2.41,-0.25,2.09,2.05,1.0
Newcastle,20,5,13,5,2,0,3.7,3.55,0.25,2.07,2.03,3.46,3.25,0.25,2.0,1.89,0.0
Newcastle,5,2,8,4,1,0,5.85,5.26,0.75,2.06,2.0,4.75,4.22,0.75,1.91,1.79,0.0
Newcastle,7,2,9,1,1,0,6.4,6.02,1.0,2.06,2.01,6.25,5.58,1.0,1.98,1.88,1.0
Newcastle,15,5,10,8,2,0,2.32,2.24,-0.25,1.97,1.92,2.4,2.25,-0.25,2.05,1.94,0.5
Newcastle,21,4,11,11,4,0,2.8,2.64,0.0,1.88,1.84,2.85,2.72,0.0,2.0,1.93,0.5
Newcastle,12,8,9,2,2,0,3.45,3.31,0.25,1.93,1.85,3.48,3.32,0.25,1.86,1.83,1.0
Newcastle,13,3,15,6,2,0,2.42,2.33,-0.25,2.04,2.01,2.45,2.36,-0.25,2.09,2.04,0.5
Newcastle,11,4,9,6,0,0,2.77,2.66,0.0,1.99,1.91,2.82,2.73,0.0,2.03,1.98,0.5
Newcastle,22,6,6,5,2,0,4.8,4.56,0.75,1.88,1.85,5.75,5.25,1.0,1.83,1.76,0.0
Newcastle,3,2,11,2,1,0,8.2,7.6,1.5,1.87,1.79,6.45,5.57,1.0,2.03,1.95,0.0
Newcastle,10,3,11,5,3,0,3.5,3.38,0.25,2.01,1.97,3.86,3.55,0.25,2.15,2.05,0.0
Newcastle,8,3,5,6,2,0,14.0,12.35,1.75,1.98,1.93,13.0,10.99,1.5,2.07,2.02,1.0
Newcastle,8,1,4,1,0,0,23.0,19.45,2.25,1.95,1.87,17.5,14.15,1.75,2.17,2.07,0.0
Newcastle,3,0,9,0,1,1,7.6,7.06,1.0,1.99,1.95,7.75,6.92,1.0,2.03,1.98,0.0
Newcastle,5,0,12,0,1,0,12.0,10.38,1.5,2.04,2.0,12.0,10.93,1.5,2.13,2.06,0.0
Newcastle,12,9,7,3,1,0,4.75,4.55,0.75,1.92,1.86,4.8,4.36,0.5,2.09,2.03,1.0
Newcastle,11,5,9,6,1,0,3.75,3.55,0.25,2.12,2.06,3.55,3.36,0.25,2.02,1.98,0.0
Newcastle,6,4,6,1,0,0,4.85,4.62,0.5,2.06,2.02,5.65,4.96,0.5,2.17,2.08,1.0
Newcastle,9,0,12,3,2,0,4.3,4.07,0.5,1.99,1.92,4.3,4.01,0.5,1.96,1.89,0.0
Newcastle,7,2,7,0,2,0,10.0,9.18,1.5,1.88,1.84,10.0,8.84,1.5,1.9,1.85,0.0
Newcastle,5,1,12,2,3,0,9.0,7.91,1.0,2.2,2.12,8.3,7.59,1.0,2.16,2.11,0.5
Newcastle,8,2,10,4,1,0,6.75,6.06,1.0,1.86,1.81,7.8,7.16,1.0,2.13,2.05,0.5
Newcastle,10,2,9,6,0,0,8.75,7.72,1.25,1.93,1.88,9.0,7.55,1.25,1.89,1.86,0.0
Newcastle,8,2,11,5,6,1,4.75,4.35,0.5,1.96,1.91,4.0,3.7,0.25,2.07,2.01,0.0
Newcastle,14,7,15,8,3,0,5.6,5.27,0.75,2.06,2.01,5.4,4.92,0.75,1.99,1.93,1.0
Newcastle,12,7,10,3,0,0,3.32,3.21,0.25,1.88,1.83,3.94,3.72,0.25,2.1,2.03,1.0
Newcastle,6,1,7,1,0,0,29.0,22.2,2.25,2.06,2.02,32.0,23.23,2.75,1.92,1.87,0.0
Newcastle,8,4,15,4,4,0,5.0,4.65,0.75,1.85,1.81,4.55,4.28,0.5,2.01,1.96,0.0
Newcastle,12,1,12,7,2,0,4.5,4.23,0.5,1.99,1.93,4.2,3.92,0.5,1.95,1.88,0.5
