Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Sheffield United,15,3,16,8,3,0,2.65,2.57,-0.25,2.25,2.19,2.6,2.51,-0.25,2.18,2.13,1.0
Sheffield United,8,3,11,7,1,0,3.6,3.45,0.25,2.0,1.96,3.64,3.23,0.25,1.89,1.85,0.0
Sheffield United,17,4,10,12,1,1,2.55,2.46,-0.25,2.13,2.09,2.55,2.48,-0.25,2.2,2.1,0.0
Sheffield United,12,2,8,6,1,0,10.0,8.9,1.5,1.89,1.82,10.0,8.92,1.5,1.92,1.82,0.0
Sheffield United,8,2,10,7,4,0,4.0,3.88,0.5,2.0,1.96,3.96,3.68,0.25,2.19,2.12,1.0
Sheffield United,13,6,8,7,1,0,2.34,2.26,-0.25,2.0,1.94,2.38,2.27,-0.25,1.98,1.93,1.0
Sheffield United,12,8,13,6,1,0,3.68,3.55,0.25,2.05,2.0,4.28,3.81,0.5,1.86,1.81,0.5
Sheffield United,13,6,10,8,2,0,1.95,1.86,-0.5,1.95,1.86,1.95,1.8,-0.5,1.9,1.79,0.0
Sheffield United,7,3,10,3,2,0,1.93,1.86,-0.5,1.93,1.85,1.9,1.78,-0.75,2.07,1.99,1.0
Sheffield United,16,4,11,9,1,0,1.95,1.86,-0.5,1.95,1.85,1.95,1.83,-0.5,1.9,1.81,0.5
Sheffield United,13,3,11,7,1,0,2.09,2.02,-0.5,2.07,2.02,2.04,1.94,-0.5,1.97,1.92,1.0
Sheffield United,4,1,13,5,4,0,8.5,7.41,1.25,1.95,1.92,9.2,8.11,1.25,2.07,1.96,0.0
Sheffield United,16,6,10,8,2,0,1.79,1.72,-0.75,2.01,1.95,1.83,1.77,-0.75,2.13,2.03,1.0
Sheffield United,14,3,3,12,0,0,2.02,1.96,-0.5,2.0,1.95,2.05,1.93,-0.5,2.05,1.93,0.5
Sheffield United,10,4,12,10,0,0,1.7,1.66,-0.75,1.91,1.86,1.73,1.68,-0.75,1.9,1.86,1.0
Sheffield United,7,5,13,1,2,0,4.3,4.1,0.5,1.95,1.9,5.15,4.72,0.75,1.89,1.83,1.0
Sheffield United,7,3,5,6,2,0,4.1,3.96,0.25,2.13,2.07,4.32,4.13,0.25,2.17,2.11,1.0
Sheffield United,9,4,8,4,1,0,6.8,6.07,1.0,1.9,1.82,5.55,4.94,0.75,2.01,1.92,1.0
Sheffield United,8,0,11,7,1,0,2.27,2.17,-0.25,1.93,1.87,2.05,1.98,-0.5,2.05,1.99,0.0
Sheffield United,8,3,19,4,1,0,4.0,3.83,0.5,1.91,1.88,4.2,3.96,0.5,1.96,1.92,0.5
Sheffield United,8,2,11,4,1,0,10.75,9.53,1.5,1.82,1.79,9.5,8.32,1.25,2.05,1.92,0.5
Sheffield United,2,1,9,3,3,0,6.0,5.58,0.75,2.08,2.01,5.5,5.21,0.75,2.0,1.88,1.0
Sheffield United,9,3,6,7,2,0,3.75,3.58,0.25,2.09,2.05,3.4,3.23,0.25,1.95,1.87,0.5
Sheffield United,10,4,10,4,2,0,3.7,3.6,0.25,2.11,2.06,3.5,3.28,0.25,2.05,1.93,0.5
Sheffield United,14,4,9,4,2,0,6.5,6.02,1.0,1.94,1.89,7.3,6.37,1.0,2.13,1.99,0.5
Sheffield United,9,4,18,2,4,0,4.6,4.35,0.5,2.03,1.96,3.84,3.67,0.25,2.05,1.99,0.5
Sheffield United,9,3,12,1,4,0,2.6,2.4,-0.25,2.2,2.06,2.38,2.3,-0.25,2.05,1.98,1.0
Sheffield United,7,2,11,3,3,0,3.7,3.52,0.25,2.04,1.99,3.8,3.54,0.25,2.05,2.0,1.0
Sheffield United,8,0,6,5,1,0,17.5,14.91,2.0,2.07,1.98,14.0,12.29,2.0,1.85,1.82,0.0
Sheffield United,3,2,8,4,0,0,15.75,13.64,1.75,2.01,1.97,13.0,11.63,1.5,2.05,1.97,0.0
Sheffield United,12,4,13,5,2,0,4.7,4.46,0.5,2.09,2.03,4.7,4.08,0.5,2.0,1.85,0.5
Sheffield United,10,3,15,5,2,0,2.65,2.52,-0.0,1.82,1.76,2.67,2.58,-0.25,2.25,2.17,1.0
Sheffield United,5,1,14,4,1,0,2.39,2.27,-0.25,2.01,1.94,2.43,2.32,-0.25,2.02,1.98,0.5
Sheffield United,7,1,10,4,0,1,2.55,2.38,-0.25,2.06,2.02,2.53,2.43,-0.25,2.2,2.07,0.0
Sheffield United,4,1,6,5,0,0,9.6,8.62,1.25,1.91,1.85,11.25,9.61,1.25,2.08,2.0,0.0
Sheffield United,10,3,14,9,0,0,2.86,2.75,-0.0,1.95,1.89,2.75,2.6,-0.25,2.28,2.18,0.5
Sheffield United,5,1,10,5,2,0,4.2,4.01,0.5,1.93,1.87,4.3,3.75,0.25,2.29,2.06,0.0
Sheffield United,5,3,16,1,1,0,3.56,3.34,0.25,2.04,1.99,4.07,3.81,0.5,1.96,1.89,0.0
