Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Southampton,14,3,10,5,2,0,7.5,6.77,1.25,1.87,1.84,7.4,6.48,1.0,2.21,2.08,0.0
Southampton,10,2,17,2,1,1,3.9,3.75,0.25,2.15,2.1,4.56,4.06,0.5,1.95,1.92,0.5
Southampton,25,6,8,4,1,0,2.17,2.1,-0.25,1.87,1.83,2.3,2.18,-0.25,2.0,1.89,0.0
Southampton,10,3,8,3,0,0,4.3,4.02,0.5,2.05,2.01,5.2,4.66,1.0,1.87,1.72,0.0
Southampton,6,3,3,2,0,1,3.3,3.2,0.25,1.91,1.86,3.25,3.13,0.25,1.97,1.84,0.0
Southampton,4,3,12,5,1,0,3.11,2.96,0.25,1.91,1.8,3.44,3.15,0.25,1.98,1.86,0.0
Southampton,11,6,6,6,1,0,2.2,2.12,-0.25,1.85,1.83,2.16,2.09,-0.25,1.85,1.8,1.0
Southampton,14,5,12,6,1,0,1.85,1.78,-0.75,2.03,1.99,1.85,1.78,-0.75,2.05,2.0,1.0
Southampton,11,2,9,5,1,0,1.98,1.92,-0.5,1.95,1.91,1.97,1.81,-0.5,1.95,1.81,0.0
Southampton,14,5,13,12,1,0,2.05,1.98,-0.5,2.05,1.97,2.1,1.95,-0.5,2.1,1.96,0.5
Southampton,12,3,21,6,3,0,3.51,3.34,0.25,2.04,1.99,3.94,3.51,0.5,1.93,1.86,1.0
Southampton,11,5,13,1,2,0,2.46,2.39,-0.25,2.1,2.04,2.66,2.59,0.0,1.86,1.79,0.0
Southampton,10,2,8,4,2,0,1.85,1.79,-0.75,2.1,2.03,1.8,1.69,-0.75,1.9,1.85,0.0
Southampton,28,9,13,9,1,0,1.7,1.64,-1.0,2.12,2.07,1.78,1.72,-0.75,2.02,1.93,1.0
Southampton,6,3,14,5,0,1,1.74,1.67,-0.75,1.93,1.86,1.8,1.74,-0.75,1.98,1.95,0.0
Southampton,12,3,10,4,0,1,2.75,2.64,0.0,1.99,1.93,2.84,2.66,0.0,2.02,1.95,0.0
Southampton,8,4,6,2,1,0,11.31,9.03,1.5,2.01,1.93,10.5,9.11,1.5,2.01,1.96,1.0
Southampton,21,6,6,8,1,0,2.26,2.18,-0.25,1.91,1.87,2.38,2.28,-0.25,2.02,1.96,0.5
Southampton,13,4,9,9,0,0,2.25,2.18,-0.25,1.92,1.88,2.05,1.99,-0.5,2.03,1.98,1.0
Southampton,11,3,12,7,0,0,2.85,2.78,-0.0,2.0,1.98,2.95,2.88,-0.0,2.07,2.02,0.0
Southampton,12,4,10,5,3,0,3.2,3.08,0.25,1.85,1.82,3.44,3.23,0.25,1.94,1.88,1.0
Southampton,11,7,7,6,1,0,3.15,3.06,0.25,1.84,1.81,3.2,3.04,0.25,1.88,1.8,1.0
Southampton,14,6,16,6,2,0,8.18,7.61,1.25,1.95,1.9,10.25,8.29,1.25,2.25,2.09,0.0
Southampton,14,5,17,3,2,0,4.75,4.52,0.5,2.07,2.03,4.25,4.03,0.5,1.87,1.81,0.5
Southampton,3,3,10,0,1,0,41.0,29.72,3.0,1.88,1.81,38.0,31.81,3.0,1.99,1.91,0.0
Southampton,21,6,19,8,2,0,7.0,6.55,1.25,1.94,1.89,7.5,6.89,1.25,1.95,1.9,0.5
Southampton,19,4,17,12,3,0,3.1,2.87,-0.0,2.08,2.03,2.95,2.83,-0.0,2.08,2.02,0.0
Southampton,17,8,15,5,1,0,3.0,2.87,-0.0,2.14,2.09,2.9,2.72,-0.0,2.1,2.02,1.0
Southampton,5,3,9,1,2,0,9.25,8.58,1.5,1.94,1.87,9.5,8.06,2.5,1.3,1.28,1.0
Southampton,16,10,17,4,3,0,6.0,5.46,1.0,1.83,1.79,5.55,5.09,0.75,2.07,1.98,1.0
Southampton,15,6,13,8,2,0,2.84,2.72,-0.0,1.99,1.93,3.04,2.73,-0.0,2.06,1.91,1.0
Southampton,17,4,15,11,2,0,12.37,10.73,1.5,2.07,2.02,12.0,10.11,1.5,1.99,1.91,0.0
Southampton,10,2,11,9,1,0,2.64,2.55,-0.0,1.94,1.88,2.83,2.71,-0.0,2.09,2.0,0.0
Southampton,22,9,15,7,1,0,2.64,2.53,-0.0,1.91,1.85,2.58,2.46,-0.0,1.85,1.79,1.0
Southampton,11,7,9,3,0,0,3.1,2.92,-0.0,2.16,2.09,3.4,3.2,0.25,1.9,1.85,1.0
Southampton,17,4,14,5,3,0,3.86,3.62,0.5,1.86,1.81,3.92,3.68,0.25,2.16,2.1,0.5
Southampton,9,5,15,6,3,0,12.0,10.41,1.5,2.01,1.94,12.5,10.57,1.75,1.96,1.84,0.5
Southampton,16,8,11,6,2,0,3.01,2.84,0.25,1.86,1.81,2.85,2.74,-0.0,2.15,2.06,1.0
