Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Tottenham,31,7,13,14,1,0,1.33,1.3,-1.5,2.0,1.93,1.4,1.36,-1.5,2.21,2.08,1.0
Tottenham,17,2,10,6,2,0,1.27,1.24,-1.75,2.0,1.95,1.3,1.28,-1.5,1.94,1.87,0.0
Tottenham,13,5,19,4,4,0,1.45,1.39,-1.25,1.95,1.89,1.45,1.41,-1.25,2.04,1.97,1.0
Tottenham,9,4,5,6,0,1,1.49,1.44,-1.25,2.03,1.98,1.47,1.39,-1.25,1.87,1.81,1.0
Tottenham,12,2,5,11,4,0,1.45,1.42,-1.25,1.95,1.92,1.55,1.51,-1.0,1.91,1.84,0.5
Tottenham,17,5,6,4,2,0,1.63,1.58,-1.0,2.05,1.98,1.58,1.54,-1.0,1.93,1.89,0.5
Tottenham,15,5,10,4,0,0,1.41,1.38,-1.5,2.16,2.06,1.36,1.33,-1.5,2.05,1.91,1.0
Tottenham,13,7,12,1,1,0,1.45,1.41,-1.25,1.98,1.92,1.49,1.43,-1.25,2.05,1.98,1.0
Tottenham,5,1,9,3,4,1,2.45,2.37,-0.25,2.11,2.06,2.44,2.34,-0.25,2.09,2.03,0.0
Tottenham,11,5,10,9,4,0,1.59,1.55,-1.0,1.96,1.91,1.55,1.52,-1.0,1.91,1.86,1.0
Tottenham,14,4,4,4,0,0,5.0,4.59,0.75,2.02,1.97,5.3,4.8,0.75,2.07,1.98,0.0
Tottenham,14,3,12,7,0,0,1.45,1.42,-1.25,1.98,1.91,1.46,1.38,-1.25,1.95,1.87,1.0
Tottenham,3,3,8,2,2,0,6.0,5.64,1.0,2.01,1.96,6.5,5.87,1.0,2.11,2.04,1.0
Tottenham,13,5,12,4,3,0,2.55,2.44,-0.25,2.16,2.08,2.9,2.78,0.0,2.02,1.94,0.0
Tottenham,10,3,17,7,0,0,3.2,3.03,0.25,1.86,1.82,3.5,3.27,0.25,2.02,1.95,0.5
Tottenham,15,4,12,9,2,0,1.71,1.67,-0.75,1.9,1.86,1.65,1.56,-1.0,2.05,1.95,1.0
Tottenham,12,2,14,5,3,0,2.22,2.13,-0.25,1.88,1.84,2.08,1.99,-0.5,2.02,1.98,1.0
Tottenham,15,9,16,6,5,0,2.75,2.6,0.0,2.06,1.9,2.88,2.75,0.0,2.05,1.97,1.0
Tottenham,7,3,15,4,2,0,2.41,2.32,-0.25,2.05,2.01,2.44,2.33,-0.25,2.07,2.02,1.0
Tottenham,3,2,4,2,0,0,9.0,8.46,1.5,1.91,1.87,9.05,8.2,1.5,1.97,1.88,0.5
Tottenham,13,9,19,6,5,0,3.0,2.9,0.25,1.85,1.83,2.87,2.65,-0.0,2.05,1.97,0.5
Tottenham,11,4,13,2,2,0,2.55,2.45,-0.25,2.16,2.11,2.72,2.63,-0.0,1.98,1.92,0.0
Tottenham,8,3,7,4,1,0,2.02,1.96,-0.5,2.0,1.96,1.83,1.73,-0.75,1.98,1.92,0.0
Tottenham,11,4,11,3,3,0,6.5,6.11,1.0,2.06,2.0,7.3,6.44,1.25,1.92,1.88,0.0
Tottenham,4,2,8,2,2,1,2.68,2.57,-0.0,1.93,1.89,2.99,2.79,-0.0,2.11,2.04,0.5
Tottenham,15,6,14,7,2,0,1.82,1.75,-0.75,1.99,1.95,1.72,1.67,-1.0,2.2,2.13,1.0
Tottenham,8,5,9,3,1,0,2.7,2.61,-0.0,1.94,1.91,2.88,2.79,-0.0,2.08,2.02,0.0
Tottenham,9,5,10,2,4,0,2.35,2.26,-0.25,2.02,1.95,2.5,2.42,-0.25,2.15,2.1,1.0
Tottenham,15,7,10,6,3,0,1.74,1.69,-0.75,1.9,1.85,1.74,1.64,-1.0,2.2,2.06,0.5
Tottenham,11,5,8,9,4,0,2.25,2.16,-0.25,1.93,1.87,2.14,2.02,-0.5,2.09,2.02,0.0
Tottenham,17,5,13,3,3,0,2.35,2.25,-0.25,2.0,1.95,2.38,2.27,-0.25,2.08,1.98,0.5
Tottenham,23,10,10,7,0,0,1.95,1.89,-0.5,1.93,1.88,2.0,1.94,-0.5,2.0,1.94,1.0
Tottenham,5,3,14,5,2,0,5.1,4.72,0.75,1.97,1.93,4.85,4.51,0.5,2.08,2.01,0.0
Tottenham,13,2,11,5,4,0,2.82,2.69,-0.0,1.98,1.92,2.8,2.68,-0.0,2.01,1.92,0.5
Tottenham,9,2,13,6,0,0,2.08,1.98,-0.5,2.01,1.97,1.85,1.79,-0.75,2.12,2.05,0.0
Tottenham,9,0,14,12,2,0,1.72,1.68,-0.75,1.94,1.87,1.82,1.75,-0.75,2.08,1.97,0.5
Tottenham,8,5,13,4,3,0,1.85,1.79,-0.75,2.08,2.02,1.7,1.65,-1.0,2.22,2.15,1.0
Tottenham,7,2,13,2,2,0,1.6,1.55,-1.0,1.99,1.93,1.52,1.49,-1.25,2.12,2.09,0.5
