Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
West Ham,5,3,6,1,2,0,13.0,11.84,1.75,2.02,1.99,13.0,11.14,1.75,2.07,1.97,0.0
West Ham,18,8,16,8,2,0,1.94,1.89,-0.5,1.91,1.89,1.96,1.9,-0.5,1.93,1.9,1.0
West Ham,8,6,8,3,2,0,3.45,3.24,0.25,2.02,1.96,3.2,3.08,0.25,1.91,1.85,1.0
West Ham,9,4,11,2,3,0,2.05,2.0,-0.5,2.03,2.01,2.05,2.0,-0.5,2.05,2.0,0.0
West Ham,12,4,7,10,2,0,2.18,2.11,-0.25,1.87,1.83,2.39,2.27,-0.25,2.02,1.97,0.5
West Ham,16,6,10,7,2,0,1.84,1.79,-0.75,2.06,2.02,1.92,1.85,-0.5,1.9,1.86,0.0
West Ham,11,4,12,3,3,0,4.45,4.32,0.75,1.97,1.93,5.0,4.74,1.0,1.81,1.77,0.0
West Ham,11,4,12,4,2,0,3.6,3.43,0.5,1.94,1.88,4.08,3.57,0.5,1.99,1.95,0.0
West Ham,14,4,16,5,4,0,4.25,4.03,0.5,2.06,2.02,2.9,2.55,0.0,1.98,1.89,0.0
West Ham,14,7,3,9,1,0,2.02,1.95,-0.5,1.98,1.94,2.02,1.92,-0.5,2.0,1.93,1.0
West Ham,12,6,11,7,1,0,3.05,2.96,0.25,1.85,1.81,3.01,2.91,0.25,1.83,1.78,0.5
West Ham,7,4,6,3,2,0,10.0,8.76,1.5,1.95,1.9,9.5,8.53,1.5,1.87,1.81,0.0
West Ham,12,6,8,4,1,0,2.68,2.56,0.0,1.9,1.84,2.65,2.51,0.0,1.87,1.81,0.5
West Ham,14,7,8,4,1,0,2.8,2.71,0.0,2.04,1.98,2.7,2.57,0.0,2.0,1.88,1.0
West Ham,7,2,8,5,1,0,3.75,3.57,0.25,2.08,2.03,4.4,4.09,0.5,1.95,1.89,0.0
West Ham,10,4,10,2,2,0,6.0,5.48,1.0,1.93,1.86,8.0,7.02,1.25,1.98,1.86,1.0
West Ham,21,5,7,10,1,0,2.1,2.02,-0.5,2.05,2.02,1.93,1.85,-0.5,1.93,1.85,0.0
West Ham,10,4,11,9,0,0,2.5,2.42,-0.25,2.09,2.04,2.6,2.48,-0.25,2.19,2.1,1.0
West Ham,10,1,16,0,2,0,3.2,3.05,0.25,1.94,1.89,2.75,2.62,0.0,1.99,1.93,0.5
West Ham,8,3,10,6,2,0,3.0,2.9,0.25,1.8,1.75,3.74,3.34,0.25,2.15,1.98,0.5
West Ham,16,10,11,7,1,0,3.65,3.47,0.25,2.11,2.05,3.48,3.32,0.25,2.05,1.98,1.0
West Ham,13,1,12,4,1,1,2.7,2.63,-0.0,1.99,1.95,2.64,2.53,-0.0,1.92,1.87,0.5
West Ham,17,6,8,6,1,0,2.9,2.79,0.25,1.8,1.77,3.0,2.89,0.25,1.86,1.82,0.5
West Ham,8,4,15,2,2,0,4.0,3.81,0.5,1.95,1.91,4.55,4.25,0.5,2.17,2.08,0.0
West Ham,7,4,10,4,1,0,3.3,3.13,0.25,1.96,1.92,3.43,3.34,0.25,2.06,2.01,0.0
West Ham,5,4,16,3,3,0,10.53,9.63,1.5,2.12,2.07,11.2,9.77,1.75,1.97,1.89,1.0
West Ham,6,3,9,4,2,0,5.05,4.74,0.75,1.93,1.87,5.5,5.16,0.75,2.06,2.01,0.0
West Ham,11,4,14,8,3,0,3.95,3.83,0.5,2.0,1.95,4.4,4.19,0.5,2.13,2.06,1.0
West Ham,10,2,10,6,2,0,3.21,3.12,0.25,1.91,1.86,3.45,3.24,0.25,2.0,1.92,0.0
West Ham,7,2,6,3,0,0,4.2,3.94,0.5,1.9,1.85,4.7,4.28,0.5,2.04,1.95,0.0
West Ham,6,2,19,8,1,0,6.25,5.97,1.0,2.05,1.99,7.05,6.64,1.25,1.88,1.85,0.0
West Ham,3,0,7,1,1,0,23.0,18.28,2.5,1.96,1.92,24.0,19.6,2.5,2.05,1.95,0.0
West Ham,7,4,10,8,3,0,19.0,16.2,2.0,2.11,2.05,21.0,17.55,2.25,1.98,1.85,0.0
West Ham,14,6,9,7,2,0,6.21,5.78,1.0,1.98,1.93,5.55,5.13,1.0,1.86,1.79,0.0
West Ham,10,2,7,4,2,0,5.65,5.21,0.75,2.08,2.03,7.08,6.29,1.0,2.05,1.94,0.0
West Ham,17,7,11,4,0,0,2.9,2.74,-0.0,2.01,1.96,2.8,2.65,-0.0,1.98,1.9,0.5
West Ham,19,7,8,6,0,0,2.07,1.99,-0.5,2.03,2.0,2.14,2.07,-0.5,2.11,2.05,1.0
West Ham,12,3,9,3,1,0,13.5,11.56,1.75,2.15,1.96,13.0,10.94,1.75,1.97,1.89,0.5
