Team,Shots,Shots_on_target,Fouls,Corners,Yellowcards,Redcards,Odds_max,Odds_average,Handicap,Handicap_max,Handicap_average,Odds_max_close,Odds_average_close,Handicap_close,Handicap_max_close,Handicap_average_close,FTR
Wolves,6,2,17,4,2,0,3.41,3.32,0.25,1.95,1.92,3.24,3.0,0.25,1.89,1.77,0.5
Wolves,17,2,9,4,0,0,1.9,1.85,-0.5,1.87,1.84,1.85,1.79,-0.75,2.07,2.04,0.5
Wolves,11,4,8,7,1,0,3.07,2.97,0.25,1.82,1.79,3.15,3.05,0.25,1.86,1.83,0.0
Wolves,6,2,5,1,0,0,1.95,1.89,-0.5,1.93,1.88,1.99,1.93,-0.5,1.98,1.93,1.0
Wolves,4,1,10,1,3,0,1.9,1.85,-0.5,1.88,1.85,2.15,2.07,-0.5,2.16,2.08,0.5
Wolves,17,5,17,6,4,0,1.96,1.9,-0.5,1.93,1.89,1.85,1.7,-0.75,1.98,1.89,1.0
Wolves,13,3,12,7,1,0,2.0,1.92,-0.5,2.0,1.92,2.29,2.23,-0.25,1.96,1.9,0.5
Wolves,13,7,8,5,1,0,1.82,1.77,-0.75,2.05,2.01,1.75,1.68,-0.75,1.95,1.87,1.0
Wolves,18,5,14,11,4,0,3.35,3.22,0.25,1.98,1.92,2.95,2.89,0.25,1.84,1.79,0.0
Wolves,20,8,7,3,0,0,8.59,7.73,1.25,2.05,1.99,8.2,6.84,1.25,2.08,1.99,1.0
Wolves,9,4,13,5,0,0,1.5,1.46,-1.0,1.83,1.77,1.5,1.46,-1.0,1.83,1.78,0.5
Wolves,10,3,6,2,0,0,6.0,5.63,0.75,2.11,2.07,5.9,5.21,0.75,2.1,2.01,0.0
Wolves,15,3,13,7,2,0,2.65,2.55,0.0,1.85,1.82,2.93,2.67,0.0,1.92,1.86,0.5
Wolves,19,6,11,4,2,0,1.57,1.52,-1.0,1.96,1.88,1.55,1.51,-1.0,1.94,1.88,1.0
Wolves,11,1,4,2,1,0,1.7,1.65,-0.75,1.88,1.83,1.78,1.72,-0.75,2.03,1.94,0.5
Wolves,10,2,11,6,3,0,1.63,1.58,-1.0,2.12,2.06,1.63,1.57,-1.0,2.12,2.05,1.0
Wolves,10,1,6,3,2,0,2.36,2.27,-0.25,2.01,1.96,2.48,2.37,-0.25,2.14,2.04,0.0
Wolves,14,7,9,5,0,0,2.16,2.06,-0.5,2.08,2.04,2.15,2.08,-0.5,2.15,2.09,1.0
Wolves,11,5,11,5,2,0,1.54,1.5,-1.0,1.99,1.9,1.49,1.44,-1.0,1.88,1.79,1.0
Wolves,8,2,13,3,2,0,3.66,3.48,0.25,2.04,1.98,3.58,3.29,0.25,1.98,1.84,0.5
Wolves,8,5,12,7,4,1,3.85,3.65,0.25,2.08,2.04,4.2,4.01,0.5,1.86,1.82,0.0
Wolves,14,4,10,7,1,1,3.0,2.93,-0.0,2.07,2.05,2.95,2.83,-0.0,2.05,1.94,0.5
Wolves,7,2,14,1,2,0,28.0,21.61,2.25,2.04,1.99,24.0,20.26,2.25,2.04,1.9,1.0
Wolves,13,5,15,6,2,0,2.7,2.59,-0.0,1.84,1.8,2.7,2.39,-0.25,2.25,2.03,0.5
Wolves,25,8,15,9,2,0,4.85,4.65,0.75,1.93,1.89,5.1,4.71,0.75,1.97,1.92,0.5
Wolves,17,7,12,9,1,0,2.7,2.59,-0.0,1.9,1.86,2.63,2.52,-0.25,2.2,2.14,1.0
Wolves,13,5,7,4,0,0,2.95,2.81,-0.0,2.01,1.97,3.13,2.88,-0.0,2.23,2.06,0.5
Wolves,14,4,14,11,4,0,2.03,1.97,-0.5,2.02,1.97,2.0,1.89,-0.5,1.94,1.88,1.0
Wolves,10,2,3,6,0,0,12.75,10.92,1.5,2.09,2.04,12.75,11.28,1.5,2.14,2.05,0.0
Wolves,16,4,6,7,1,0,2.42,2.32,-0.25,2.05,1.99,2.51,2.38,-0.25,2.17,2.05,0.0
Wolves,8,4,12,3,1,0,3.2,3.05,0.25,1.9,1.83,3.1,2.97,-0.0,2.2,2.09,1.0
Wolves,14,3,15,6,2,0,3.7,3.48,0.25,2.0,1.96,3.85,3.65,0.25,2.13,2.06,0.5
Wolves,14,4,14,5,2,0,3.21,3.13,0.25,1.83,1.79,3.03,2.78,-0.0,2.03,1.93,1.0
Wolves,10,6,7,7,1,0,2.22,2.15,-0.25,1.89,1.85,2.1,2.0,-0.5,2.1,2.0,1.0
Wolves,9,2,16,2,1,0,1.82,1.78,-0.75,2.08,2.01,1.97,1.9,-0.5,1.99,1.91,1.0
Wolves,6,1,6,1,0,0,2.25,2.14,-0.25,1.85,1.81,2.21,2.11,-0.25,1.83,1.79,0.0
Wolves,14,5,8,8,0,0,1.97,1.9,-0.5,1.95,1.9,1.97,1.93,-0.5,1.97,1.93,0.5
Wolves,5,1,16,3,3,0,4.55,4.23,0.5,2.11,2.03,4.9,4.49,0.5,1.99,1.95,0.0
